ModelName,Thrust,CylinderCount,CylinderConfig,PropSize
HIDR MARK III,0,4.0,Inline,72.0
UPRI MARK III,0,4.0,Inline,72.0
AM13 SERIES,0,4.0,Inline,70.0
AM15 SERIES,0,4.0,Inline,72.0
M-14PFXDK,0,9.0,Radial,102.0
M14P-XEDK,0,9.0,Radial,102.0
M14PF,0,9.0,Radial,100.0
100 IFB,0,6.0,Opposed,56.0
M-14P,0,9.0,Radial,94.0
E107A,0,2.0,Opposed,66.0
E113 SERIES,0,,,
E-113,0,2.0,Opposed,68.0
E-113A,0,2.0,Opposed,68.0
E-113B,0,2.0,Opposed,70.0
E-113C,0,2.0,Opposed,70.0
E-113CDB,0,2.0,Opposed,72.0
E-113CB,0,2.0,Opposed,70.0
E-113CD,0,2.0,Opposed,72.0
O-360,0,4.0,Opposed,76.0
O-360-A1A,0,4.0,Opposed,76.0
O-320-D1A,0,4.0,Opposed,74.0
O-360 A2A,0,4.0,Opposed,76.0
IO-390,0,4.0,Opposed,74.0
IO-375 SERIES,0,4.0,Opposed,78.0
IO-360 SERIES,0,4.0,Opposed,74.0
O/IO-320 SER,0,4.0,Opposed,72.0
IO-540-D4A5,0,6.0,Opposed,80.0
IO-360MI,0,4.0,Opposed,74.0
IO-375-B1B,0,4.0,Opposed,78.0
IO-400-M1S,0,4.0,Opposed,80.0
IO-375-M1,0,4.0,Opposed,78.0
IO382 SERIES,0,4.0,Opposed,78.0
ECIIO375M1SD,0,4.0,Opposed,80.0
CC-340,0,4.0,Opposed,80.0
CC363I,0,4.0,Opposed,80.0
IO-540-EXP,0,6.0,Opposed,82.0
IO-375M1S,0,4.0,Opposed,80.0
OX340,0,4.0,Opposed,80.0
IO-375-M2S,0,4.0,Opposed,80.0
AEROVEE 2.1 T,0,4.0,Opposed,56.0
O-375-A2A,0,4.0,Opposed,78.0
2180,0,4.0,Opposed,54.0
AEROVEE,0,4.0,Opposed,54.0
2.1,0,4.0,Opposed,54.0
