RecordID,ReportedModel,ModelVariantName,DateSet,SpeedKph,Sponsor,Description
770,707-720B,707-320B,1962-08-15,,,"Speed: 921.46209408 kmh, 572.57 mph, 497.55 kts "
771,707-123,707-123,1963-04-10,,,"Speed: 1095.8023296 kmh, 680.9 mph, 591.69 kts "
772,707-123B,707-123B,1978-02-27,,,"Speed: 811.86 kmh, 504.47 mph, 438.37 kts "
773,707-123B,707-123B,1978-02-12,,,"Speed: 805.26745728 kmh, 500.37 mph, 434.81 kts "
774,DC-8-52,DC-8-52,1977-05-09,,,"Speed: 806.65149312 kmh, 501.23 mph, 435.56 kts "
775,Concorde,,1990-03-16,,,"Speed: 1046.95 kmh, 650.54 mph, 565.31 kts "
776,DC-9-41,DC-9-41,1983-02-06,,,"Speed: 683.28 kmh, 424.57 mph, 368.94 kts"
777,L.188 Electra,,1966-01-11,,,"Speed: 523.0368 kmh, 325 mph, 282.42 kts "
778,727-231,727-231,1975-01-01,,,"Speed: 924.23016576 kmh, 574.29 mph, 499.04 kts "
779,727-231,727-231,1974-05-06,,,"Speed: 859.37360256 kmh, 533.99 mph, 464.02 kts "
780,767-300ER,767-300ER,2000-06-21,,,"Speed: 873.79 kmh, 542.95 mph, 471.81 kts "
781,777-222,777-222,1995-08-13,,,"Speed: 541.15801344 kmh, 336.26 mph, 292.2 kts "
782,DC-10-30,DC-10-30,1998-08-13,,,"Speed: 961.74 kmh, 597.6 mph, 519.3 kts "
783,747-100,747-100,1999-12-22,,,"Speed: 707.96 kmh, 439.91 mph, 382.27 kts "
784,747-100,747-100,1995-12-10,,,"Speed: 1019.58 kmh, 633.54 mph, 550.53 kts "
785,727-200,727-200,1991-06-18,,,"Speed: 783.33 kmh, 486.74 mph, 422.96 kts "
786,747-200B,747-200B,2001-12-15,,,"Speed: 1044.1 kmh, 648.77 mph, 563.77 kts "
787,DC-10-30,DC-10-30,1992-03-27,,,"Speed: 888.83 kmh, 552.29 mph, 479.93 kts "
788,747-100,747-100,1996-03-10,,,"Speed: 765.38 kmh, 475.59 mph, 413.27 kts "
789,MD-11F,MD-11F,2000-07-22,,,"Speed: 901.58 kmh, 560.22 mph, 486.81 kts "
790,727-100,727-100,1981-04-19,,,"Speed: 746.64 kmh, 463.94 mph, 403.15 kts "
791,727,727,1973-01-12,,,"Speed: 867.88703232 kmh, 539.28 mph, 468.62 kts "
792,757,77,1994-03-30,,,"Speed: 960.72 kmh, 596.96 mph, 518.75 kts "
793,Constellation,,1947-08-05,,,"Speed: 467.514 kmh, 290.5 mph, 252.44 kts"
794,727-200,727-200,2003-04-06,,,"Speed: 783.11 kmh, 486.6 mph, 422.85 kts "
795,DC-8,DC-8,1963-07-19,,,"Speed: 912.20836608 kmh, 566.82 mph, 492.55 kts "
796,737-200,737-200,1980-03-11,,,"Speed: 819.18828288 kmh, 509.02 mph, 442.33 kts "
797,DC-8-51,DC-8-51,1963-01-21,,,"Speed: 948.93359616 kmh, 589.64 mph, 512.38 kts "
798,727-225A,727-225,1988-02-25,,,"Speed: 749.88 kmh, 465.95 mph, 404.9 kts "
799,L-1011,LS-101,1993-12-01,,,"Speed: 1013.04 kmh, 629.47 mph, 547 kts "
800,DC-8,DC-8,1964-04-27,,,"Speed: 846.16088832 kmh, 525.78 mph, 456.89 kts "
801,767-300ER,767-300ER,2003-03-17,,,"Speed: 827.91 kmh, 514.44 mph, 447.04 kts "
802,727,727,1985-07-05,,,"Speed: 658.99 kmh, 409.48 mph, 355.83 kts "
803,747-100,747-100,1989-11-09,,,"Speed: 864.16 kmh, 536.96 mph, 466.61 kts "
804,Concorde,,1986-04-08,,,"Speed: 962.58 kmh, 598.12 mph, 519.75 kts "
805,747-400,747-400,1994-04-06,,,"Speed: 963.55 kmh, 598.72 mph, 520.28 kts "
806,747-400,747-400,1994-01-28,,,"Speed: 865.18 kmh, 537.6 mph, 467.16 kts "
807,747SP,,1977-10-31,,,"Speed: 907.69 kmh, 564.01 mph, 490.11 kts"
808,747-400,747-400,1995-04-04,,,"Speed: 852.18 kmh, 529.52 mph, 460.14 kts "
809,Concorde,,1990-03-31,,,"Speed: 1600.68 kmh, 994.62 mph, 864.3 kts "
810,Concorde,,1990-03-03,,,"Speed: 1300.63 kmh, 808.17 mph, 702.28 kts "
811,767-201ER,767-219ER,1991-05-01,,,"Speed: 841.76 kmh, 523.05 mph, 454.51 kts "
812,707,70,1962-10-30,,,"Speed: 906.80097024 kmh, 563.46 mph, 489.63 kts "
813,747-400,747-400,1999-09-20,,,"Speed: 733.17 kmh, 455.57 mph, 395.88 kts "
814,747-400,747-400,1993-04-29,,,"Speed: 842.55 kmh, 523.54 mph, 454.94 kts "
815,747-400,747-400,1999-03-15,,,"Speed: 925.69 kmh, 575.2 mph, 499.83 kts "
816,Concorde,,1977-11-02,,,"Speed: 1826.38 kmh, 1134.86 mph, 986.17 kts "
817,747-400,747-400,1995-10-19,,,"Speed: 846.45 kmh, 525.96 mph, 457.05 kts "
818,747SP,,1992-08-18,,,"Speed: 724.63 kmh, 450.26 mph, 391.27 kts "
819,747-400,747-400,1997-02-23,,,"Speed: 871.71 kmh, 541.66 mph, 470.69 kts "
820,A310-300,A310-300,1988-12-26,,,"Speed: 868.87 kmh, 539.89 mph, 469.15 kts "
821,767-300ER,767-300ER,1994-08-18,,,"Speed: 807.09 kmh, 501.5 mph, 435.79 kts "
822,737-300,737-300,2001-10-19,,,"Speed: 845.52 kmh, 525.38 mph, 456.54 kts "
823,DC-9-31,DC-9-31,1979-10-17,,,"Speed: 596.7447552 kmh, 370.8 mph, 322.22 kts "
824,727-200A,727-200,1990-07-04,,,"Speed: 832.23 kmh, 517.12 mph, 449.37 kts "
825,757,77,1994-06-01,,,"Speed: 772.77 kmh, 480.18 mph, 417.26 kts "
826,707,70,1965-04-29,,,"Speed: 905.36865408 kmh, 562.57 mph, 488.86 kts "
827,990,1990,1963-07-20,,,"Speed: 667.25011584 kmh, 414.61 mph, 360.29 kts "
828,DC-10-40,DC-10-40,1993-01-10,,,"Speed: 1054.26516096 kmh, 655.09 mph, 569.26 kts "
829,707-123B,707-123B,1962-01-07,,,"Speed: 818.57673216 kmh, 508.64 mph, 442 kts "
830,757-200,757-200CB,1993-04-26,,,"Speed: 742.09 kmh, 461.11 mph, 400.7 kts "
831,DC-9-31,DC-9-31,1971-03-08,,,"Speed: 786.2450112 kmh, 488.55 mph, 424.54 kts "
832,MD-11F,MD-11F,1998-09-25,,,"Speed: 870.28 kmh, 540.77 mph, 469.91 kts "
833,DC-10-30,DC-10-30,1991-07-06,,,"Speed: 886.14 kmh, 550.62 mph, 478.48 kts "
834,747-100,747-100,1997-01-05,,,"Speed: 942.87 kmh, 585.87 mph, 509.11 kts "
835,767-300ER,767-300ER,1999-09-17,,,"Speed: 653.25 kmh, 405.91 mph, 352.73 kts "
836,777-200,777-200,2001-08-05,,,"Speed: 911.17 kmh, 566.17 mph, 491.99 kts "
837,DC-9-31,DC-9-31,1978-03-07,,,"Speed: 851.48781696 kmh, 529.09 mph, 459.77 kts "
838,DC-9-51,DC-9-51,1978-04-24,,,"Speed: 655.6467456 kmh, 407.4 mph, 354.02 kts "
839,DC-8-72,DC-8-72,1983-03-30,,,"Speed: 775.95 kmh, 482.15 mph, 418.98 kts "
840,Concorde,,1985-03-29,,,"Speed: 1192.48 kmh, 740.97 mph, 643.89 kts "
841,Concorde,,1991-09-24,,,"Speed: 1833.78 kmh, 1139.46 mph, 990.16 kts "
842,Concorde,,1982-03-20,,,"Speed: 1869.9 kmh, 1161.9 mph, 1009.67 kts "
843,727-200,727-200,2001-10-30,,,"Speed: 555.91569792 kmh, 345.43 mph, 300.17 kts "
844,DC-8,DC-8,1990-12-07,,,"Speed: 714.91 kmh, 444.22 mph, 386.02 kts "
845,737-200,737-200,1990-06-29,,,"Speed: 789.39 kmh, 490.5 mph, 426.24 kts "
846,767-200,767-200,1993-01-09,,,"Speed: 1033.09 kmh, 641.93 mph, 557.82 kts "
847,A330-300,A330-300,2002-06-15,,,"Speed: 939.86 kmh, 584 mph, 507.48 kts "
848,727-200A,727-200,1990-10-17,,,"Speed: 913.89 kmh, 567.86 mph, 493.46 kts "
849,DC-8,DC-8,1990-12-07,,,"Speed: 712.06 kmh, 442.45 mph, 384.48 kts "
850,DC-10-30F,DC-10-30F,1999-02-22,,,"Speed: 835.66 kmh, 519.26 mph, 451.22 kts "
851,Constellation,,1947-08-05,,,"Speed: 526.142 kmh, 326.93 mph, 284.09 kts "
852,727,727,1999-02-27,,,"Speed: 831.69 kmh, 516.79 mph, 449.08 kts "
853,767-200ER,767-200ER,1993-08-31,,,"Speed: 846.37 kmh, 525.91 mph, 457 kts "
854,737-500,737-500,1997-04-05,,,"Speed: 838.93 kmh, 521.29 mph, 452.99 kts "
855,990,1990,1965-02-16,,,"Speed: 1114.11666432 kmh, 692.28 mph, 601.57 kts "
856,DC-10-30,DC-10-30,1991-09-21,,,"Speed: 940.24 kmh, 584.24 mph, 507.69 kts "
857,737-300,737-300,1993-02-20,,,"Speed: 838.74 kmh, 521.17 mph, 452.88 kts "
858,737-300,737-300,1993-03-14,,,"Speed: 792 kmh, 492.13 mph, 427.65 kts "
859,MD-11,MD-11,1997-09-16,,,"Speed: 790.43 kmh, 491.15 mph, 426.8 kts "
860,737-200,737-200,1996-06-23,,,"Speed: 681.52499712 kmh, 423.48 mph, 367.99 kts "
861,747-400,747-400,2002-06-24,,,"Speed: 806.97 kmh, 501.43 mph, 435.73 kts "
862,767-200ER,767-200ER,1994-08-25,,,"Speed: 895.11 kmh, 556.2 mph, 483.32 kts "
863,MD-82,MD-2,1998-10-13,,,"Speed: 784.61 kmh, 487.53 mph, 423.66 kts "
