CODE,MFR,MODEL,TYPE,HORSEPOWER,THRUST
0,NONE,NONE,0,0,0
401,A.C.E.,HIDR MARK III,1,95,0
402,A.C.E.,UPRI MARK III,1,100,0
450,AEROMOMENT,AM13 SERIES,8,100,0
452,AEROMOMENT,AM15 SERIES,8,117,0
500,AEROMOTORS,M-14PFXDK,1,360,0
501,AEROMOTORS,M14P-XEDK,1,360,0
511,AEROMOTORS,M14PF,1,400,0
550,AEROMAX,100 IFB,1,100,0
600,AEROSTAR,M-14P,1,360,0
1001,AERONCA,E107A,1,30,0
1002,AERONCA,E113 SERIES,1,45,0
1003,AERONCA,E-113,1,36,0
1004,AERONCA,E-113A,1,36,0
1006,AERONCA,E-113B,1,36,0
1007,AERONCA,E-113C,1,40,0
1008,AERONCA,E-113CDB,1,45,0
1009,AERONCA,E-113CB,1,42,0
1010,AERONCA,E-113CD,1,42,0
1300,AEROSPORT,O-360,1,180,0
1301,AEROSPORT,O-360-A1A,1,180,0
1302,AEROSPORT,O-320-D1A,1,170,0
1303,AEROSPORT,O-360 A2A,1,180,0
1304,AEROSPORT,IO-390,1,210,0
1305,AEROSPORT,IO-375 SERIES,1,180,0
1306,AEROSPORT,IO-360 SERIES,1,180,0
1307,AEROSPORT,O/IO-320 SER,1,180,0
1308,AEROSPORT,IO-540-D4A5,1,260,0
1309,AEROSPORT,IO-360MI,1,180,0
1310,AEROSPORT,IO-375-B1B,1,205,0
1311,AEROSPORT,IO-400-M1S,1,215,0
1312,AEROSPORT,IO-375-M1,1,195,0
1315,AEROSPORT,IO382 SERIES,8,200,0
1319,AEROSPORT,ECIIO375M1SD,1,195,0
1320,AEROSPORT,CC-340,1,185,0
1321,AEROSPORT,CC363I,1,187,0
1322,AEROSPORT,IO-540-EXP,1,250,0
1325,AEROSPORT,IO-375M1S,1,205,0
1326,AEROSPORT,OX340,1,180,0
1330,AEROSPORT,IO-375-M2S,1,205,0
1398,AEROCONVER,AEROVEE 2.1 T,1,100,0
1399,AEROSPORT,O-375-A2A,1,205,0
1400,AEROVEE,2180,8,80,0
1401,AEROCONVER,AEROVEE,1,80,0
1402,AEROVEE,2.1,8,80,0
1403,AEROVEE,2.0,8,80,0
1404,AEROCONVER,AEROVEE 2.1,1,80,0
1405,AEROVEE,2002,1,80,0
1406,AEROVEE,2.1 TURBO,8,100,0
1410,AEROSPORT,O/IO-340 SERI,1,185,0
1498,AIRESEARCH,TPE331-2,2,715,0
1499,AEROSPORT,O-375-A1A,1,205,0
