recordNumber,aircraftModel,Matched_Master_Model,confirmedSpeedKph,recordDate,MFR,TYPE-ACFT,FirstClassCount,EconomyCount,PilotCount
770,707-720B,707-320B,,1962-08-15,BOEING,5,,,
771,707-123,707-123,,1963-04-10,BOEING,5,,,
772,707-123B,707-123B,,1978-02-27,BOEING,5,,,
773,707-123B,707-123B,,1978-02-12,BOEING,5,,,
774,DC-8-52,DC-8-52,,1977-05-09,DOUGLAS,5,,,
775,Concorde,,,1990-03-16,,,,,
776,DC-9-41,DC-9-41,,1983-02-06,DOUGLAS,5,,,
777,L.188 Electra,,,1966-01-11,,,,,
778,727-231,727-231,,1975-01-01,BOEING,5,,,
779,727-231,727-231,,1974-05-06,BOEING,5,,,
780,767-300ER,767-300ER,,2000-06-21,BOEING,5,,,
781,777-222,777-222,,1995-08-13,BOEING,5,,,
782,DC-10-30,DC-10-30,,1998-08-13,MCDONNELL-DOUGLAS,5,,,
783,747-100,747-100,,1999-12-22,BOEING,5,,,
784,747-100,747-100,,1995-12-10,BOEING,5,,,
785,727-200,727-200,,1991-06-18,BOEING,5,,,
786,747-200B,747-200B,,2001-12-15,BOEING,5,,,
787,DC-10-30,DC-10-30,,1992-03-27,MCDONNELL-DOUGLAS,5,,,
788,747-100,747-100,,1996-03-10,BOEING,5,,,
789,MD-11F,MD-11F,,2000-07-22,MCDONNELL DOUGLAS,5,,,
790,727-100,727-100,,1981-04-19,BOEING,5,,,
791,727,727,,1973-01-12,BOEING,5,,,
792,757,77,,1994-03-30,BREECHER RAYMOND/BREECHER CARL,4,,,
793,Constellation,,,1947-08-05,,,,,
794,727-200,727-200,,2003-04-06,BOEING,5,,,
795,DC-8,DC-8,,1963-07-19,DOUGLAS,5,,,
796,737-200,737-200,,1980-03-11,BOEING,5,,,
797,DC-8-51,DC-8-51,,1963-01-21,DOUGLAS,5,,,
798,727-225A,727-225,,1988-02-25,BOEING,5,,,
799,L-1011,LS-101,,1993-12-01,SUAVE LOUIS M,4,,,
800,DC-8,DC-8,,1964-04-27,DOUGLAS,5,,,
801,767-300ER,767-300ER,,2003-03-17,BOEING,5,,,
802,727,727,,1985-07-05,BOEING,5,,,
803,747-100,747-100,,1989-11-09,BOEING,5,,,
804,Concorde,,,1986-04-08,,,,,
805,747-400,747-400,,1994-04-06,BOEING,5,,,
806,747-400,747-400,,1994-01-28,BOEING,5,,,
807,747SP,,,1977-10-31,,,,,
808,747-400,747-400,,1995-04-04,BOEING,5,,,
809,Concorde,,,1990-03-31,,,,,
810,Concorde,,,1990-03-03,,,,,
811,767-201ER,767-219ER,,1991-05-01,BOEING,5,,,
812,707,70,,1962-10-30,NORTHWESTERN BALLOON CO,2,0.0,6.0,1.0
813,747-400,747-400,,1999-09-20,BOEING,5,,,
