EngineModelName,FuelName
GE90-115B,JP-8
CFM56-7B,Jet B
PW4056,JP-8
Trent XWB,Jet B
LEAP‑1A,HEFA
LEAP‑1B,Synthetic Kerostene
LEAP‑1C,Jet A-1
IAE V2500,HEFA
PW1000G,Synthetic Kerostene
AE2100,JP-8
CF6‑80E1,Bio-Jet 100
Pratt & Whitney F135,Avgas 140
PW4084,100LL
GE95,Jet B
CFM RISE,Synthetic Kerostene
Rolls‑Royce RTM321,Jet A-1
GE408,Avgas 140
TRB1000,100LL-Green
Lycoming O‑320,100LL-Green
Lycoming O‑360,Bio-Jet 100
Continental IO‑520,100LL
Rolls‑Royce Merlin,HEFA
Pratt & Whitney R‑1830,100LL-Green
GE T700,Synthetic Kerostene
GE T58,Synthetic Kerostene
Pratt & Whitney JT8D,HEFA
CFM56‑5A,Jet B
GE CF34,100LL-Green
PW1200G,Jet B
AE3000,JP-8
GE9X,Avgas 140
Trent 7000,Avgas 140
Pratt & Whitney PW1500G,JP-5
Rolls‑Royce RB.211-535,Bio-Jet 100
GE CF6‑80C2,Avgas 140
DCNS Evolution 20,Bio-Jet 100
Pratt & Whitney F100,HEFA
GE95-2B,JP-8
CFM RISE‑2,JP-5
PW4070,HEFA
Trent 1000,HEFA
GE90-130,JP-8
Lycoming O‑540,100LL-Green
Continental TSIO‑520,100LL
Pratt & Whitney PT6,100LL
GE H80,100LL
GE90-150,Avgas 140
CFM56‑7C,JP-8
PW127,JP-8
Trent 900,Avgas 140
GE414,JP-5
Lycoming O‑235,HEFA
Continental IO‑320,Bio-Jet 100
Pratt & Whitney JT15D,Jet B
GE95-1B,Jet B
Rolls‑Royce Spey,Synthetic Kerostene
PW1500G‑A,Jet B
GE9X‑2,Synthetic Kerostene
Trent 7000‑A2,Jet B
PW1000G‑E,HEFA
CFM RISE‑3,JP-5
Lycoming O‑340,Synthetic Kerostene
Continental IO‑360,HEFA
Rolls‑Royce Tyne,Jet A-1
GE T700‑AD‑800,HEFA
Pratt & Whitney R‑985,Jet A-1
GE404,Avgas 140
PW127G,100LL-Green
GE90-115B-2,Jet B
CFM56‑5B,100LL-Green
PW4057,Synthetic Kerostene
Trent 800,Synthetic Kerostene
LEAP‑1D,Synthetic Kerostene
IAE BR715,Jet B
GE9X‑3,Jet A-1
PW1500G‑B,Bio-Jet 100
Rolls‑Royce AE2100D,HEFA
