EngineModelName,ManufacturerName,Country,YearEnd
GE90-115B,Piper,USA,2024
CFM56-7B,Hawker Beechcraft,USA,2024
PW4056,Fokker,USA,2024
Trent XWB,Beechcraft,USA,2024
LEAP-1A,Kalinin,USA,2024
LEAP-1B,Safran,USA,2024
LEAP-1C,Aviat,USA,2024
IAE V2500,Kawanishi,USA,2024
PW1000G,Westland Aircraft,USA,2024
AE2100,Maule,USA,2024
CF6-80E1,Fokker,USA,2024
Pratt & Whitney F135,Zlin,USA,2024
PW4084,Tempest Aero,USA,2024
GE95,Moyes Aeronautics,USA,2024
CFM RISE,Aermacchi,USA,2024
Rolls-Royce RTM321,Astraeus Aerospace,USA,2024
GE408,Borel,USA,2024
TRB1000,AeroVenture,USA,2024
Lycoming O-320,Arado,USA,2024
Lycoming O-360,Miller Aeronautics,USA,2024
Continental IO-520,Sikorsky,USA,2024
Rolls-Royce Merlin,Northrop,USA,2024
Pratt & Whitney R-1830,Stardust,USA,2024
GE T700,Avro,USA,2024
GE T58,Zodiac Aerospace,USA,2024
Pratt & Whitney JT8D,Moller,USA,2024
CFM56-5A,Bell,USA,2024
GE CF34,Westland Aircraft,USA,2024
PW1200G,Fokker,USA,2024
AE3000,Borel,USA,2024
GE9X,Rolls-Royce,USA,2024
Trent 7000,Astraeus Aerospace,USA,2024
Pratt & Whitney PW1500G,Temco Aeronautics,USA,2024
Rolls-Royce RB.211-535,Tempest Aero,USA,2024
GE CF6-80C2,Continental Motors,USA,2024
DCNS Evolution 20,Sparrow Aircraft,USA,2024
Pratt & Whitney F100,Evektor,USA,2024
GE95-2B,Albatros,USA,2024
CFM RISE-2,Ziro,USA,2024
PW4070,Junkers,USA,2024
Trent 1000,Mooney,USA,2024
GE90-130,Saab,USA,2024
Lycoming O-540,Kawanishi,USA,2024
Continental TSIO-520,Horten,USA,2024
Pratt & Whitney PT6,Kalinin,USA,2024
GE H80,GE Aviation,USA,2024
GE90-150,AeroVenture,USA,2024
CFM56-7C,Sabau Aerospace,USA,2024
PW127,Embraer,USA,2024
Trent 900,Lockheed,USA,2024
GE414,ZPL-Swidnik,USA,2024
Lycoming O-235,Short Brothers,USA,2024
Continental IO-320,Fairchild,USA,2024
Pratt & Whitney JT15D,Stiner Aircraft,USA,2024
GE95-1B,Sopwith,USA,2024
Rolls-Royce Spey,Yakolev,USA,2024
PW1500G-A,Gulfstream Aerospace,USA,2024
GE9X-2,Sikorsky Aircraft,USA,2024
Trent 7000-A2,Gulfstream,USA,2024
PW1000G-E,Antonov,USA,2024
CFM RISE-3,Fairchild Industries,USA,2024
Lycoming O-340,Juno Aircraft,USA,2024
Continental IO-360,Piper,USA,2024
Rolls-Royce Tyne,Ilyushin,USA,2024
GE T700-AD-800,Maule,USA,2024
Pratt & Whitney R-985,Sabau Aerospace,USA,2024
GE404,Fairchild Industries,USA,2024
PW127G,Moyes Aeronautics,USA,2024
GE90-115B-2,Fairchild,USA,2024
CFM56-5B,Wright,USA,2024
PW4057,Mikoyan,USA,2024
Trent 800,Alenia,USA,2024
LEAP-1D,ZPL-Swidnik,USA,2024
IAE BR715,Morane-Saulnier,USA,2024
GE9X-3,PZL,USA,2024
PW1500G-B,Temco Aeronautics,USA,2024
Rolls-Royce AE2100D,Kawanishi,USA,2024
GE CF6-80C2F,Pratt & Whitney,USA,2024
CFM56-5C,Zodiac Aerospace,USA,2024
PW4056-2,Mikoyan,USA,2024
Trent 700-1,Bell,USA,2024
Lycoming O-303,Parker Aerospace,USA,2024
Continental IO-340,Mikoyan,USA,2024
Pratt & Whitney JT8D-200,CFM International,USA,2024
GE90-130-2,Bensen,USA,2024
PW127PW-A,Kalinin,USA,2024
Trent 800-A2,PZL,USA,2024
GE T700-AD-400,Gurevich,USA,2024
PW1000G-C,Parker Aerospace,USA,2024
CFM RISE-4,Antonov,USA,2024
Lycoming O-290,Junkers,USA,2024
Continental TSIO-540,Safran,USA,2024
Pratt & Whitney PT6A-67F,Zodiac Aerospace,USA,2024
GE90-150-2,Fokker,USA,2024
PW4000-94,Rolls-Royce,USA,2024
Trent 900-B4,Fairey Aviation,USA,2024
GE95-3,Piaggio,USA,2024
CFM56-7D,Eve,USA,2024
PW1500G-C,Piaggio,USA,2024
GE9X-4,Beechcraft,USA,2024
Trent 7000-B2,Mil,USA,2024
PW127G-B,Heinkel,USA,2024
Rolls-Royce Merlin-1650,Miles Aircraft,USA,2024
GE T58-001,Britten-Norman,USA,2024
PRM100,Zircon Aerospace,USA,2024
PW1000G-D,PZL,USA,2024
CFM56-B6,Junkers,USA,2024
Trent 800-B4,Fokker,USA,2024
GE90-115B-A,GE Aviation,USA,2024
PW1500G-D,Zircon Aerospace,USA,2024
CFM RISE-5,Sikorsky,USA,2024
Lycoming O-350,Temco Aeronautics,USA,2024
Continental IO-320-E,Eurocopter,USA,2024
Pratt & Whitney F135-A,Bensen,USA,2024
GE9X-5,Sikorsky Aircraft,USA,2024
Trent 7000-C3,Mikoyan,USA,2024
PW1500G-E,Sabau Aerospace,USA,2024
CFM56-B1,Borel,USA,2024
GE90-115B-B,Sopwith,USA,2024
PW4056-3,Westland Aircraft,USA,2024
Rolls-Royce Avon,Tempest Aero,USA,2024
GE90-115B-C,Aermacchi,USA,2024
PW1500G-F,Eurocopter,USA,2024
LEAP-1E,Sparrow Aircraft,USA,2024
Trent 800-C5,Borel,USA,2024
