ModelName,Thrust,CylinderCount,CylinderConfig,PropSize
GE90-115B,1025.0,0,Ultra-High Bypass,3.5
CFM56-7B,1150.0,0,High Bypass,2.8
PW4056,1200.0,0,High Bypass,3.0
Trent XWB,80000.0,0,Ultra-High Bypass,2.7
LEAP-1A,30000.0,0,High Bypass,2.5
LEAP-1B,30000.0,0,High Bypass,2.5
LEAP-1C,30000.0,0,High Bypass,2.5
IAE V2500,25000.0,0,High Bypass,2.4
PW1000G,5000.0,0,Geared Turbofan,1.8
AE2100,30000.0,0,High Bypass,2.6
CF6-80E1,60000.0,0,High Bypass,3.2
Pratt & Whitney F135,45000.0,0,Afterburning Turbofan,2.9
PW4084,27700.0,0,High Bypass,2.8
GE95,115000.0,0,Ultra-High Bypass,3.6
CFM RISE,35000.0,0,Ultra-High Bypass,2.7
Rolls-Royce RTM321,20000.0,0,High Bypass,2.2
GE408,8000.0,0,Turbofan,1.9
TRB1000,12000.0,0,Low-Bypass,1.5
Lycoming O-320,150.0,4,Flat-Four,0.9
Lycoming O-360,200.0,4,Flat-Four,1.0
Continental IO-520,260.0,6,Flat-Six,1.1
Rolls-Royce Merlin,1000.0,12,V-12,2.0
Pratt & Whitney R-1830,850.0,14,Radial-14,1.8
GE T700,1800.0,0,Turboshaft,2.3
GE T58,50.0,8,Turbofan,2.5
Pratt & Whitney JT8D,17000.0,0,Low-Bypass,2.0
CFM56-5A,27000.0,0,High Bypass,2.6
GE CF34,7200.0,0,Regional Turbofan,1.7
PW1200G,6200.0,0,Geared Turbofan,1.9
AE3000,11000.0,0,High Bypass,2.4
GE9X,115000.0,0,Ultra-High Bypass,3.4
Trent 7000,35000.0,0,Ultra-High Bypass,2.9
Pratt & Whitney PW1500G,7200.0,0,Geared Turbofan,2.1
Rolls-Royce RB.211-535,30000.0,0,Ultra-High Bypass,2.8
GE CF6-80C2,60000.0,0,High Bypass,3.3
DCNS Evolution 20,20000.0,0,High Bypass,2.5
Pratt & Whitney F100,29000.0,0,Low-Bypass,2.2
GE95-2B,115000.0,0,Ultra-High Bypass,3.7
CFM RISE-2,38000.0,0,Ultra-High Bypass,2.8
PW4070,27700.0,0,High Bypass,2.9
Trent 1000,35000.0,0,Ultra-High Bypass,2.9
GE90-130,130000.0,0,Ultra-High Bypass,3.8
Lycoming O-540,300.0,6,Flat-Six,1.2
Continental TSIO-520,275.0,6,Flat-Six,1.3
Pratt & Whitney PT6,620.0,0,Turboprop,1.5
GE H80,400.0,0,Turbojet,0.9
GE90-150,150000.0,0,Ultra-High Bypass,3.9
CFM56-7C,28000.0,0,High Bypass,2.7
PW127,5300.0,0,Turbofan,1.6
Trent 900,35000.0,0,Ultra-High Bypass,3.0
GE414,2200.0,0,Regional Turbofan,1.8
Lycoming O-235,85.0,4,Flat-Four,0.8
Continental IO-320,220.0,4,Flat-Four,0.9
Pratt & Whitney JT15D,3200.0,0,Low-Bypass,1.7
GE95-1B,115000.0,0,Ultra-High Bypass,3.5
Rolls-Royce Spey,17000.0,0,Low-Bypass,2.1
PW1500G-A,7200.0,0,Geared Turbofan,2.0
GE9X-2,118000.0,0,Ultra-High Bypass,3.9
Trent 7000-A2,36000.0,0,Ultra-High Bypass,3.0
PW1000G-E,6200.0,0,Geared Turbofan,1.9
CFM RISE-3,40000.0,0,Ultra-High Bypass,2.9
Lycoming O-340,180.0,4,Flat-Four,0.9
Continental IO-360,180.0,4,Flat-Four,0.9
Rolls-Royce Tyne,15000.0,0,Low-Bypass,2.0
GE T700-AD-800,2100.0,0,Turboshaft,2.2
Pratt & Whitney R-985,225.0,9,Radial-9,0.7
GE404,4500.0,0,Regional Turbofan,2.0
PW127G,5300.0,0,Turbofan,1.8
GE90-115B-2,115000.0,0,Ultra-High Bypass,3.6
CFM56-5B,28000.0,0,High Bypass,2.7
PW4057,28000.0,0,High Bypass,2.8
Trent 800,35000.0,0,Ultra-High Bypass,2.9
LEAP-1D,31000.0,0,High Bypass,2.5
IAE BR715,27000.0,0,High Bypass,2.6
GE9X-3,119000.0,0,Ultra-High Bypass,4.0
PW1500G-B,7300.0,0,Geared Turbofan,2.1
Rolls-Royce AE2100D,30000.0,0,High Bypass,2.7
GE CF6-80C2F,61000.0,0,High Bypass,3.3
CFM56-5C,26000.0,0,High Bypass,2.5
PW4056-2,12500.0,0,High Bypass,2.9
Trent 700-1,32000.0,0,Ultra-High Bypass,2.8
Lycoming O-303,110.0,4,Flat-Four,0.9
Continental IO-340,150.0,4,Flat-Four,0.9
Pratt & Whitney JT8D-200,18000.0,0,Low-Bypass,2.0
GE90-130-2,132000.0,0,Ultra-High Bypass,3.9
PW127PW-A,5400.0,0,Turbofan,1.7
Trent 800-A2,35500.0,0,Ultra-High Bypass,3.0
GE T700-AD-400,2150.0,0,Turboshaft,2.3
PW1000G-C,6100.0,0,Geared Turbofan,1.8
CFM RISE-4,42000.0,0,Ultra-High Bypass,3.0
Lycoming O-290,115.0,4,Flat-Four,0.8
Continental TSIO-540,310.0,6,Flat-Six,1.3
Pratt & Whitney PT6A-67F,620.0,0,Turboprop,1.5
GE90-150-2,152000.0,0,Ultra-High Bypass,4.0
