Name,YearFounded
Boeing,1916
Lockheed,1926
Cessna,1927
Bell,1935
Raytheon,1922
Northrop,1939
Saab,1937
Dassault,1929
Hawker,1920
Mitsubishi,1928
Fokker,1919
de Havilland,1920
Gloster,1910
Bristol,1910
Handley Page,1914
Piper,1927
Beechcraft,1932
Gulfstream,1970
Embraer,1984
Sikorsky,1925
Mil,1946
Ilyushin,1933
Sukhoi,1939
Aermacchi,1936
Alenia,1920
Piaggio,1926
Britten-Norman,1966
PZL,1929
Wright,1909
Continental Motors,1905
Lycoming,1939
Rotax,1970
CFM International,1974
GE Aviation,1917
Rolls-Royce,1904
Pratt & Whitney,1929
Safran,2005
Antonov,1946
Yakovlev,1937
Tupolev,1929
Kalinin,1925
Zlin,1931
Maule,1946
Mooney,1958
Stardust,1972
Vickers,1915
Breguet,1910
Heinkel,1909
Focke-Wulf,1931
Dornier,1914
Arado,1914
Junkers,1895
Miles Aircraft,1930
Avro,1910
Saunders-Roe,1940
Short Brothers,1908
Fairey Aviation,1910
Westland Aircraft,1945
Moyes Aeronautics,1978
Stiner Aircraft,1965
Fairchild Industries,1948
Temco Aeronautics,1940
Bensen Aircraft,1948
Fairchild,1929
Kawanishi,1915
Gurevich,1939
Beech,1935
Miller Aeronautics,1903
Alenia Aeronautica,1995
Eurocopter,1992
Evektor,1992
Eriksen Aircraft,1998
Learjet,1963
Moller,1956
Parker Aerospace,1985
Gulfstream Aerospace,1970
Eve,2013
Zodiac Aerospace,1888
Britten-Norman Islander,1966
Mikoyan,1939
Yakolev,1937
Aviat,1939
ZPL-Swidnik,1995
EADS,2000
Sikorsky Aircraft,1925
Hawker Beechcraft,2007
Tempest Aero,1993
Sabau Aerospace,2001
AeroVenture,2010
Sopwith,1912
Morane-Saulnier,1911
Borel,1910
Sparrow Aircraft,1995
Astraeus Aerospace,2004
Juno Aircraft,1998
Albatros,1920
Horten,1933
Bensen,1948
Ziro,2002
Zircon Aerospace,2015
