AircraftName,VariantName,Range
B-2Spirit,B-42,5527.03
B-2Spirit,Max-52,3256.22
B-2Spirit,Neo-97,4677.22
B-2Spirit,Neo-86,3188.37
F-22 Raptor,A-54,6933.99
F-22 Raptor,Mk.I-26,7698.23
F-22 Raptor,200-17,4012.64
F-22 Raptor,A-59,1983.83
A-10 Thunderbolt II,B-44,2811.9
A-10 Thunderbolt II,B-62,4246.41
A-10 Thunderbolt II,200-59,1579.6
A-10 Thunderbolt II,LR-54,4186.95
UH-60 Black Hawk,A-48,3449.88
UH-60 Black Hawk,100-98,7544.85
UH-60 Black Hawk,LR-98,694.96
UH-60 Black Hawk,Neo-89,789.91
C-130 Hercules,LR-50,5005.47
C-130 Hercules,LR-98,5434.7
C-130 Hercules,200-71,6988.85
C-130 Hercules,A-50,5385.14
P-51 Mustang,Max-88,1516.47
P-51 Mustang,LR-95,3881.74
P-51 Mustang,200-32,6330.37
P-51 Mustang,Mk.I-28,7926.4
F-16 Fighting Falcon,B-56,1154.98
F-16 Fighting Falcon,Max-51,3349.49
F-16 Fighting Falcon,Mk.I-98,3847.65
F-16 Fighting Falcon,100-80,3739.27
MiG-29 Fulcrum,Neo-70,1582.72
MiG-29 Fulcrum,Neo-95,1182.93
MiG-29 Fulcrum,Mk.I-31,2980.86
MiG-29 Fulcrum,LR-24,890.79
Su-30 Flanker,Max-11,5817.64
Su-30 Flanker,A-56,920.49
Su-30 Flanker,100-79,5370.88
Su-30 Flanker,A-11,6850.76
Eurofighter Typhoon,A-28,4091.55
Eurofighter Typhoon,LR-8,5957.44
Eurofighter Typhoon,B-23,829.73
Eurofighter Typhoon,200-96,6591.31
F-35 Lightning II,A-44,1114.57
F-35 Lightning II,200-38,794.05
F-35 Lightning II,100-85,3417.42
F-35 Lightning II,100-39,5405.98
B-52 Stratofortress,ER-54,896.51
B-52 Stratofortress,200-89,3053.47
B-52 Stratofortress,B-26,5609.71
B-52 Stratofortress,Max-51,3311.36
C-5 Galaxy,Max-11,5508.06
C-5 Galaxy,ER-37,7674.62
C-5 Galaxy,LR-32,3844.18
C-5 Galaxy,100-18,6283.76
An-2 Biplane,Neo-69,2398.32
An-2 Biplane,Mk.I-23,6545.84
An-2 Biplane,ER-42,5874.97
An-2 Biplane,100-84,1590.4
Cessna 172 Skyhawk,ER-6,2222.23
Cessna 172 Skyhawk,100-35,2746.94
Cessna 172 Skyhawk,LR-11,2858.03
Cessna 172 Skyhawk,LR-74,6547.4
Boeing 747,ER-89,1381.29
Boeing 747,ER-51,7086.4
Boeing 747,Max-15,1104.98
Boeing 747,Neo-10,5045.59
Airbus A320,Neo-36,7584.52
Airbus A320,100-94,5836.2
Airbus A320,100-26,2973.72
Airbus A320,Max-6,7543.08
McDonnell Douglas F/A-18 Hornet,ER-37,682.74
McDonnell Douglas F/A-18 Hornet,Neo-37,3018.95
McDonnell Douglas F/A-18 Hornet,200-68,2211.52
McDonnell Douglas F/A-18 Hornet,LR-36,5419.64
Fokker 100,200-72,3243.59
Fokker 100,A-61,7036.57
Fokker 100,LR-17,7805.5
Fokker 100,Neo-5,6992.38
Antonov An-70,200-37,4795.09
Antonov An-70,ER-16,6841.39
Antonov An-70,LR-27,4976.42
Antonov An-70,Mk.I-84,6790.43
Embraer E-Jets E175,Mk.I-89,4004.58
Embraer E-Jets E175,B-9,1841.51
Embraer E-Jets E175,Neo-80,6240.36
Embraer E-Jets E175,100-36,3653.62
SR-71 Blackbird,A-11,2169.93
SR-71 Blackbird,B-65,6306.92
SR-71 Blackbird,ER-43,4892.38
SR-71 Blackbird,ER-5,6112.61
X-15,B-90,4535.07
X-15,Mk.I-35,881.92
X-15,ER-66,6103.74
X-15,100-54,4893.58
Space Shuttle Atlantis,ER-83,2369.06
Space Shuttle Atlantis,ER-95,5760.1
Space Shuttle Atlantis,ER-51,6825.78
Space Shuttle Atlantis,200-22,5227.43
Wright Flyer,ER-19,4458.08
Wright Flyer,200-87,1350.71
Wright Flyer,LR-83,2971.21
Wright Flyer,B-21,7986.58
V-22 Osprey,B-21,6550.89
V-22 Osprey,Mk.I-19,2933.51
V-22 Osprey,ER-97,3957.92
V-22 Osprey,Mk.I-31,2891.91
Hawker Siddeley Harrier,100-66,1941.7
Hawker Siddeley Harrier,100-98,5021.27
Hawker Siddeley Harrier,LR-10,803.85
Hawker Siddeley Harrier,100-36,1698.06
Dassault Rafale,ER-76,6890.41
Dassault Rafale,Max-57,2937.21
Dassault Rafale,LR-45,4348.05
Dassault Rafale,Mk.I-99,7400.3
MiG-31 Foxhound,LR-17,7153.6
MiG-31 Foxhound,Neo-2,5430.83
MiG-31 Foxhound,ER-3,1152.07
MiG-31 Foxhound,B-19,3374.06
JAS 39 Gripen,LR-60,4090.53
JAS 39 Gripen,Neo-88,4024.8
JAS 39 Gripen,100-31,1293.72
JAS 39 Gripen,100-86,3015.44
MiG-15,LR-64,7641.82
MiG-15,Max-73,7104.04
MiG-15,B-95,7318.76
MiG-15,A-43,2625.98
MiG-21,Mk.I-27,2684.0
MiG-21,100-85,4920.05
MiG-21,Max-17,2891.04
MiG-21,Max-87,4694.87
U-2 Dragon Lady,LR-57,3494.73
U-2 Dragon Lady,100-77,5848.04
U-2 Dragon Lady,B-44,5207.16
U-2 Dragon Lady,Max-80,2500.19
B-1 Lancer,A-96,6588.41
B-1 Lancer,A-33,7499.94
B-1 Lancer,Max-56,1998.37
