ModelAircraftName,ModelVariantName,SeatingID
AeroVironment P-8,Mk.I-28,10786
Aurora Aether-1,200-97,10135
F-87 Stormbreaker II,100-44,10844
Zephyr-8,LR-44,10506
Valkyrie Aerospace VX-1,Neo-38,10597
AeroEthereal,200-3,10261
Avro Lancaster,B-77,10219
Embraer E-Jet,LR-57,10065
AeroAce 300,Mk.I-11,10637
Arcadia Fighter,ER-31,10862
RavenWing Aero 580,Max-61,10264
Fairchild C-123 Provider,LR-3,10881
AeroZenith Aurora,Mk.I-46,10108
Bristol Beaufighter,LR-28,10708
Panavia Tornado,Max-67,10435
Nebula Breaker,Neo-5,10566
de Havilland DH.60 Moth,Mk.I-4,10601
AeroFalcon 300,100-14,10524
Zenith Aero Systems Zenith-9,LR-83,10530
Arcadia Aero 400,A-96,10707
AeroSolar 53,A-41,10783
StratoMaster,200-11,10618
OrionX 9,B-60,10593
Mitsubishi T-2,LR-14,10597
Mikoyan-Gurevich MiG-29K,Max-10,10058
Titanair 3,100-18,10137
Nova Aero 770,Max-21,10305
Aurora 12,100-33,10881
Zephyr-3,100-84,10279
AeroVanguard 2.0,Neo-61,10429
Titanium Hawk,LR-44,10486
F-5E Tiger II,LR-89,10263
VorticeVoyager 7,100-52,10548
Lockheed Martin F-22A,LR-96,10449
AeroFlux 13,ER-89,10094
Cessna O-1 Skywaggon,100-21,10275
SkyRider 7X,Neo-70,10054
Lockheed Martin F-16 Fighting Falcon,B-65,10475
Aurora Aether-1,ER-3,10036
Zephyr Whisper,A-54,10315
McDonnell Douglas F/A-18 Hornet,Neo-37,10192
F-40 Venom,Neo-38,10085
Boeing 737,B-22,10323
CosmicCruiser 4,A-87,10547
AeroVista 800,B-30,10401
Quasar 6,100-73,10092
AeroStratos,ER-48,10089
Northrop Grumman B-2 Spirit,Mk.I-88,10450
Barling Type A,A-60,10602
AeroFlux 13,ER-89,10305
