ID,FirstClassCount,BusinessClassCount,EconomyCount,PilotCount,OtherCount
10000,10,15,381,2,6
10001,2,21,361,2,1
10002,14,14,104,2,0
10003,13,27,368,2,8
10004,0,37,225,2,1
10005,18,0,255,2,8
10006,10,20,105,2,1
10007,9,22,165,2,6
10008,3,37,224,2,2
10009,1,11,117,2,6
10010,7,4,136,2,4
10011,11,30,243,2,5
10012,20,1,324,2,0
10013,8,17,91,2,2
10014,8,40,393,2,7
10015,7,10,241,2,0
10016,10,29,174,2,2
10017,18,33,355,2,8
10018,9,35,79,2,2
10019,14,37,144,2,6
10020,3,29,290,2,1
10021,12,32,240,2,9
10022,18,32,398,2,10
10023,1,15,189,2,4
10024,15,17,95,2,5
10025,8,34,166,2,6
10026,1,12,338,2,4
10027,1,13,318,2,7
10028,4,1,219,2,2
10029,0,4,263,2,7
10030,9,37,57,2,6
10031,10,19,242,2,8
10032,9,37,341,2,10
10033,9,8,58,2,10
10034,0,26,326,2,5
10035,20,39,321,2,6
10036,7,0,52,2,0
10037,10,16,298,2,9
10038,11,22,352,2,10
10039,0,3,268,2,4
10040,18,36,369,2,2
10041,3,5,115,2,5
10042,17,2,348,2,8
10043,12,4,313,2,0
10044,18,9,200,2,7
10045,12,11,80,2,0
10046,18,6,148,2,8
10047,20,0,386,2,7
10048,14,40,66,2,2
10049,13,10,147,2,3
10050,13,2,178,2,8
10051,20,10,208,2,3
10052,11,13,99,2,6
10053,0,14,262,2,1
10054,7,21,216,2,8
10055,8,17,79,2,10
10056,6,32,398,2,2
10057,9,33,168,2,6
10058,18,28,145,2,7
10059,1,21,222,2,0
10060,14,24,255,2,4
10061,5,27,235,2,1
10062,0,34,60,2,5
10063,19,31,112,2,0
10064,4,31,373,2,5
10065,13,25,185,2,8
10066,3,1,255,2,7
10067,6,14,234,2,7
10068,16,24,282,2,6
10069,19,0,314,2,1
10070,5,29,263,2,6
10071,7,26,163,2,2
10072,9,3,267,2,9
10073,14,14,323,2,10
10074,7,33,303,2,5
10075,2,7,338,2,4
10076,5,17,187,2,5
10077,16,13,125,2,10
10078,20,17,248,2,10
10079,0,5,340,2,0
10080,2,10,322,2,4
10081,1,16,257,2,10
10082,10,0,290,2,6
10083,1,23,288,2,3
10084,9,11,374,2,4
10085,2,5,364,2,3
10086,3,14,308,2,9
10087,14,13,327,2,0
10088,10,19,201,2,6
10089,18,26,113,2,7
10090,9,10,139,2,9
10091,18,4,302,2,7
10092,13,12,71,2,10
10093,17,1,377,2,4
10094,1,1,183,2,10
10095,20,9,66,2,5
10096,20,22,106,2,9
10097,8,6,315,2,7
10098,1,35,281,2,10
10099,8,15,164,2,0
10100,11,25,400,2,6
10101,2,15,349,2,2
10102,19,32,369,2,4
10103,0,13,174,2,10
10104,19,31,362,2,1
10105,6,15,134,2,3
10106,20,4,224,2,10
10107,11,3,154,2,8
10108,17,40,116,2,2
10109,14,35,249,2,6
10110,17,33,82,2,0
10111,18,30,59,2,1
10112,8,37,353,2,3
10113,5,13,253,2,9
10114,7,9,125,2,0
10115,6,21,220,2,9
10116,19,31,204,2,7
10117,10,3,300,2,3
10118,3,13,183,2,10
10119,20,3,218,2,3
10120,12,25,199,2,6
10121,5,8,74,2,1
10122,19,14,288,2,3
10123,9,30,354,2,5
10124,11,21,244,2,2
10125,7,10,271,2,0
10126,2,30,207,2,0
10127,5,16,138,2,2
10128,1,30,93,2,3
10129,8,10,160,2,8
10130,1,4,213,2,6
10131,19,22,376,2,7
10132,3,34,173,2,7
10133,9,2,143,2,10
10134,19,18,288,2,3
10135,6,35,266,2,8
10136,14,37,189,2,1
10137,15,17,192,2,1
10138,0,30,96,2,3
10139,7,24,295,2,5
10140,15,17,248,2,0
10141,2,5,361,2,7
10142,3,25,201,2,4
10143,3,29,350,2,3
10144,3,34,295,2,4
10145,16,38,299,2,9
10146,14,5,161,2,7
10147,10,17,367,2,10
10148,11,22,167,2,10
10149,9,25,294,2,8
10150,10,19,147,2,6
10151,1,13,398,2,10
10152,10,14,272,2,7
10153,15,13,57,2,7
10154,4,25,340,2,5
10155,7,16,346,2,5
10156,4,28,393,2,10
10157,10,32,125,2,0
10158,17,13,241,2,6
10159,20,28,56,2,2
10160,17,4,368,2,2
10161,2,36,117,2,7
10162,8,11,384,2,7
10163,16,0,119,2,1
10164,2,4,351,2,3
10165,8,15,180,2,6
10166,7,7,127,2,7
10167,20,21,383,2,7
10168,13,31,302,2,9
10169,10,23,330,2,1
10170,10,7,119,2,1
10171,15,20,113,2,9
10172,18,26,198,2,8
10173,17,12,209,2,0
10174,14,20,346,2,10
10175,20,19,245,2,9
10176,9,0,375,2,5
10177,14,40,173,2,4
10178,2,39,352,2,7
10179,18,10,112,2,0
10180,11,11,201,2,10
10181,1,18,53,2,9
10182,5,27,207,2,10
10183,9,23,381,2,5
10184,8,1,78,2,5
10185,16,32,71,2,9
10186,12,28,398,2,2
10187,1,25,283,2,7
10188,17,15,118,2,2
10189,18,39,269,2,7
10190,4,8,212,2,8
10191,12,27,92,2,1
10192,3,21,123,2,4
10193,17,5,278,2,7
10194,15,5,310,2,0
10195,11,19,222,2,2
10196,18,29,260,2,8
10197,10,12,207,2,6
10198,9,35,287,2,6
10199,7,40,354,2,9
10200,7,34,286,2,4
10201,15,11,167,2,0
10202,15,28,192,2,3
10203,0,5,137,2,7
10204,20,14,165,2,8
10205,6,22,289,2,2
10206,20,11,338,2,10
10207,12,35,228,2,5
10208,19,20,245,2,0
10209,2,35,129,2,2
10210,7,38,298,2,8
10211,18,36,79,2,0
10212,2,30,234,2,10
10213,12,7,327,2,4
10214,12,4,86,2,0
10215,14,18,309,2,3
10216,18,16,187,2,7
10217,15,36,148,2,4
10218,1,34,254,2,7
10219,19,40,94,2,1
10220,5,34,95,2,0
10221,7,9,54,2,4
10222,15,18,92,2,3
10223,16,32,138,2,9
10224,14,22,260,2,10
10225,1,13,99,2,7
10226,6,13,324,2,3
10227,0,39,132,2,2
10228,0,16,302,2,0
10229,15,31,199,2,10
10230,1,10,293,2,0
10231,16,35,262,2,4
10232,0,38,338,2,0
10233,3,11,73,2,9
10234,11,27,240,2,2
10235,11,9,229,2,7
10236,8,3,322,2,2
10237,0,3,143,2,9
10238,3,12,179,2,10
